Players,Country,Age,Specialism,BattingStyle,BowlingStyle,T20caps,IPL,2021Team,2021IPL,CaUcAs,ReservePrice Rs Lakh,PricePaid,Team
Kushaal Wadhwani,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Akshay Wakhare,India,36,BOWLER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Darren Bravo,West Indies,33,BATSMAN,LHB,-,22,1,Do No Play,0,Capped,75,0,UnSold
Shamrah Brooks,West Indies,33,BATSMAN,RHB,RIGHT ARM Leg Spin,3,0,Do No Play,0,Capped,50,0,UnSold
Avishka Fernando,Sri Lanka,24,BATSMAN,RHB,RIGHT ARM Medium,30,0,Do No Play,0,Capped,50,0,UnSold
Zubayr Hamza,South Africa,26,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Capped,50,0,UnSold
Pathum Nissaanka,Sri Lanka,23,BATSMAN,RHB,RIGHT ARM Off Spin,12,0,Do No Play,0,Capped,50,0,UnSold
Kurtis Patterson,Australia,29,BATSMAN,LHB,-,0,0,Do No Play,0,Capped,50,0,UnSold
Hashmatullah Shahidi,Afghanistan,27,BATSMAN,LHB,RIGHT ARM Off Spin,4,0,Do No Play,0,Capped,50,0,UnSold
Manoj Tiwary,India,36,BATSMAN,RHB,RIGHT ARM Leg Spin,3,98,Do No Play,0,Capped,50,0,UnSold
Ashton Agar,Australia,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,40,0,Do No Play,0,Capped,200,0,UnSold
Carlos Brathwaite,West Indies,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,41,16,Do No Play,0,Capped,75,0,UnSold
Kedar Jadhav,India,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,9,93,SRH,7,Capped,100,0,UnSold
Chamika Karunaratne,Sri Lanka,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,14,0,Do No Play,0,Capped,50,5000000,KKR
Colin Munro,New Zealand,35,ALL-ROUNDER,LHB,RIGHT ARM Medium,65,13,Do No Play,0,Capped,150,0,UnSold
Gulbadin Naib,Afghanistan,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,53,0,Do No Play,0,Capped,50,0,UnSold
Keemo Paul,West Indies,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,20,8,Do No Play,0,Capped,75,0,UnSold
Parvez Rasool,India,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,1,11,Do No Play,0,Capped,50,0,UnSold
Dasun Shanaka,Sri Lanka,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,57,0,Do No Play,0,Capped,50,0,UnSold
David Willey,England,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,32,3,Do No Play,0,Capped,200,20000000,RCB
Varun Aaron,India,32,BOWLER,RHB,RIGHT ARM Fast,0,50,Do No Play,0,Capped,50,5000000,GT
Wesley Agar,Australia,25,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Capped,50,0,UnSold
Shoriful Islam,Bangladesh,20,BOWLER,LHB,LEFT ARM Fast Medium,1,0,Do No Play,0,Capped,50,0,UnSold
Josh Little,Ireland,22,BOWLER,RHB,LEFT ARM Fast Medium,27,0,Do No Play,0,Capped,50,0,UnSold
Blessing Muzarabani,Zimbabwe,25,BOWLER,RHB,RIGHT ARM Fast,21,0,Do No Play,0,Capped,50,0,UnSold
Jayden Seales,West Indies,20,BOWLER,LHB,RIGHT ARM Fast,0,0,Do No Play,0,Capped,50,0,UnSold
Mohit Sharma,India,33,BOWLER,RHB,RIGHT ARM Fast Medium,8,86,Do No Play,0,Capped,50,0,UnSold
Barinder Sran,India,29,BOWLER,LHB,LEFT ARM Fast Medium,2,24,Do No Play,0,Capped,50,0,UnSold
Billy Stanlake,Australia,27,BOWLER,LHB,RIGHT ARM Fast,19,6,Do No Play,0,Capped,75,0,UnSold
Neil Wagner,New Zealand,36,BOWLER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Capped,50,0,UnSold
Qamran Iqbal,India,20,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ishank Jaggi,India,33,BATSMAN,RHB,-,0,7,Do No Play,0,Uncapped,20,0,UnSold
Rohan Kunnummal,India,23,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Tanmay Mishra,India,35,BATSMAN,RHB,RIGHT ARM Off Spin,0,1,Do No Play,0,Uncapped,20,0,UnSold
Yash Nahar,India,27,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shubham Singh Rohilla,India,24,BATSMAN,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Alex Ross,Australia,29,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
R Samarth,India,29,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,2000000,SRH
Naushad Shaikh,India,30,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Abhijeet Tomar,India,27,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,4000000,KKR
Baba Aparajith,India,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Prayas Barman,India,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,1,Do No Play,0,Uncapped,20,0,UnSold
Yudhvir Charak,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,MI,0,Uncapped,20,0,UnSold
Shubhang Hegde,India,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Roosh Kalaria,India,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Aman Khan,India,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,2000000,KKR
Tanush Kotian,India,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Pradeep Sangwan,India,31,ALL-ROUNDER,RHB,LEFT ARM Fast,0,39,Do No Play,0,Uncapped,20,2000000,GT
Kaushal Tambe,India,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shivank Vashisth,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Rahul Chandrol,India,21,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Harvik Desai,India,22,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Cam Fletcher,New Zealand,29,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Tarang Gohel,India,22,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Fazil Makaya,India,25,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ryan Rickelton,South Africa,25,WICKETKEEPER,LHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Sandeep Kumar Tomar,India,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Siddhesh Wath,India,24,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Stephen Cheepurupalli,India,28,BOWLER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Aniket Choudhary,India,32,BOWLER,RHB,LEFT ARM Fast Medium,0,5,Do No Play,0,Uncapped,20,0,UnSold
Kartikeya Kak,India,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ali Khan,USA,31,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Associate,40,0,UnSold
Kulwant Khejroliya,India,30,BOWLER,LHB,LEFT ARM Fast,0,5,DC,0,Uncapped,20,0,UnSold
